Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status,Missing_Offer_Flag,Time_to_Hire,Stage_Drop
C00001,Marketing Specialist,Product,Naukri,05-08-2023,08-08-2023,22-08-2023,28-08-2023,,Rejected,FALSE,-1,After_Offer
C00002,Software Engineer,Marketing,Referral,08-05-2025,14-05-2025,25-05-2025,27-05-2025,,Rejected,FALSE,-1,After_Offer
C00003,Software Engineer,Product,Referral,21-05-2024,27-05-2024,,,,Rejected,FALSE,-1,After_Screening
C00004,Marketing Specialist,Product,AngelList,28-07-2024,04-08-2024,12-08-2024,15-08-2024,,Rejected,FALSE,-1,After_Offer
C00005,Product Manager,Product,Company Website,23-01-2025,01-02-2025,16-02-2025,22-02-2025,,Rejected,FALSE,-1,After_Offer
C00006,Data Scientist,HR,AngelList,18-01-2024,28-01-2024,04-02-2024,09-02-2024,,Dropped,FALSE,-1,After_Offer
C00007,Data Scientist,Product,LinkedIn,14-05-2025,15-05-2025,25-05-2025,04-06-2025,,Dropped,FALSE,-1,After_Offer
C00008,Data Scientist,Marketing,Referral,01-03-2024,,,,,Hired,FALSE,-1,
C00009,Marketing Specialist,Marketing,LinkedIn,20-01-2024,30-01-2024,09-02-2024,,,Rejected,FALSE,-1,After_Interview
C00010,Software Engineer,Marketing,Referral,16-12-2024,22-12-2024,26-12-2024,01-01-2025,,Rejected,FALSE,-1,After_Offer
C00011,Marketing Specialist,Sales,Company Website,04-05-2025,06-05-2025,17-05-2025,23-05-2025,,Dropped,FALSE,-1,After_Offer
C00012,Marketing Specialist,Product,Naukri,22-11-2023,27-11-2023,09-12-2023,,,Dropped,FALSE,-1,After_Interview
C00013,Sales Executive,Marketing,Company Website,26-10-2023,28-10-2023,29-10-2023,05-11-2023,11-11-2023,Hired,FALSE,16,
C00014,Software Engineer,Sales,AngelList,05-04-2024,13-04-2024,19-04-2024,21-04-2024,,Rejected,FALSE,-1,After_Offer
C00015,Sales Executive,Product,AngelList,09-12-2024,19-12-2024,30-12-2024,,,Rejected,FALSE,-1,After_Interview
C00016,HR Manager,Product,LinkedIn,04-10-2024,05-10-2024,11-10-2024,,,Hired,FALSE,-1,
C00017,Software Engineer,Tech,LinkedIn,13-08-2023,19-08-2023,,,,Rejected,FALSE,-1,After_Screening
C00018,Software Engineer,Product,AngelList,23-10-2023,25-10-2023,09-11-2023,15-11-2023,,Rejected,FALSE,-1,After_Offer
C00019,Software Engineer,Tech,AngelList,25-07-2024,04-08-2024,16-08-2024,,,Rejected,FALSE,-1,After_Interview
C00020,Data Scientist,HR,AngelList,14-06-2024,17-06-2024,24-06-2024,,,Dropped,FALSE,-1,After_Interview
C00021,Data Scientist,HR,Referral,12-06-2025,16-06-2025,23-06-2025,02-07-2025,,Dropped,FALSE,-1,After_Offer
C00022,Sales Executive,Sales,Company Website,08-09-2024,13-09-2024,15-09-2024,,,Dropped,FALSE,-1,After_Interview
C00023,Sales Executive,Tech,Referral,07-12-2023,15-12-2023,,,,Rejected,FALSE,-1,After_Screening
C00024,Software Engineer,HR,Naukri,30-07-2024,06-08-2024,,,,Dropped,FALSE,-1,After_Screening
C00025,Sales Executive,HR,Referral,04-06-2025,14-06-2025,16-06-2025,,,Hired,FALSE,-1,
C00026,Data Scientist,HR,AngelList,26-06-2025,01-07-2025,09-07-2025,14-07-2025,,Rejected,FALSE,-1,After_Offer
C00027,Marketing Specialist,Product,Referral,01-04-2025,09-04-2025,20-04-2025,,,Rejected,FALSE,-1,After_Interview
C00028,Marketing Specialist,Tech,LinkedIn,16-07-2024,23-07-2024,,,,Rejected,FALSE,-1,After_Screening
C00029,Marketing Specialist,HR,AngelList,04-03-2025,10-03-2025,,,,Rejected,FALSE,-1,After_Screening
C00030,Sales Executive,Tech,Company Website,11-03-2024,,,,,Rejected,FALSE,-1,After_Application
C00031,HR Manager,Marketing,Referral,05-06-2025,10-06-2025,15-06-2025,18-06-2025,22-06-2025,Hired,FALSE,17,
C00032,Data Scientist,Marketing,AngelList,23-05-2024,,,,,Dropped,FALSE,-1,After_Application
C00033,HR Manager,Product,LinkedIn,03-07-2025,12-07-2025,25-07-2025,03-08-2025,05-08-2025,Hired,FALSE,33,
C00034,Sales Executive,Marketing,LinkedIn,21-06-2024,30-06-2024,09-07-2024,17-07-2024,,Dropped,FALSE,-1,After_Offer
C00035,Product Manager,Sales,Referral,30-06-2024,04-07-2024,06-07-2024,07-07-2024,,Dropped,FALSE,-1,After_Offer
C00036,Software Engineer,Tech,AngelList,26-11-2024,05-12-2024,16-12-2024,19-12-2024,23-12-2024,Hired,FALSE,27,
C00037,Data Scientist,HR,Company Website,16-01-2024,24-01-2024,,,,Dropped,FALSE,-1,After_Screening
C00038,Marketing Specialist,Sales,Naukri,20-02-2024,24-02-2024,27-02-2024,,,Dropped,FALSE,-1,After_Interview
C00039,HR Manager,Sales,LinkedIn,17-09-2023,,,,,Hired,FALSE,-1,
C00040,Product Manager,Marketing,Naukri,18-07-2024,22-07-2024,02-08-2024,,,Dropped,FALSE,-1,After_Interview
C00041,Product Manager,Tech,Company Website,16-03-2025,22-03-2025,06-04-2025,08-04-2025,,Rejected,FALSE,-1,After_Offer
C00042,Data Scientist,HR,Referral,12-05-2025,19-05-2025,02-06-2025,,,Dropped,FALSE,-1,After_Interview
C00043,Data Scientist,Sales,LinkedIn,14-06-2024,15-06-2024,25-06-2024,02-07-2024,06-07-2024,Hired,FALSE,22,
C00044,Product Manager,Product,Naukri,12-05-2024,15-05-2024,25-05-2024,27-05-2024,,Rejected,FALSE,-1,After_Offer
C00045,Software Engineer,HR,LinkedIn,17-11-2023,27-11-2023,10-12-2023,,,Rejected,FALSE,-1,After_Interview
C00046,Software Engineer,Marketing,Naukri,16-02-2025,22-02-2025,27-02-2025,07-03-2025,,Dropped,FALSE,-1,After_Offer
C00047,HR Manager,Tech,AngelList,23-01-2024,31-01-2024,,,,Hired,FALSE,-1,
C00048,Software Engineer,Product,AngelList,16-03-2025,19-03-2025,30-03-2025,31-03-2025,,Rejected,FALSE,-1,After_Offer
C00049,Product Manager,HR,Referral,30-06-2025,06-07-2025,07-07-2025,12-07-2025,,Dropped,FALSE,-1,After_Offer
