Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status,Missing_Offer_Flag,Time_to_Hire,Stage_Drop
C00001,Marketing Specialist,Product,Naukri,2023-08-05,2023-08-08,2023-08-22,2023-08-28,,Rejected,False,-1,After_Offer
C00002,Software Engineer,Marketing,Referral,2025-05-08,2025-05-14,2025-05-25,2025-05-27,,Rejected,False,-1,After_Offer
C00003,Software Engineer,Product,Referral,2024-05-21,2024-05-27,,,,Rejected,False,-1,After_Screening
C00004,Marketing Specialist,Product,AngelList,2024-07-28,2024-08-04,2024-08-12,2024-08-15,,Rejected,False,-1,After_Offer
C00005,Product Manager,Product,Company Website,2025-01-23,2025-02-01,2025-02-16,2025-02-22,,Rejected,False,-1,After_Offer
C00006,Data Scientist,HR,AngelList,2024-01-18,2024-01-28,2024-02-04,2024-02-09,,Dropped,False,-1,After_Offer
C00007,Data Scientist,Product,LinkedIn,2025-05-14,2025-05-15,2025-05-25,2025-06-04,,Dropped,False,-1,After_Offer
C00008,Data Scientist,Marketing,Referral,2024-03-01,,,,,Hired,False,-1,None
C00009,Marketing Specialist,Marketing,LinkedIn,2024-01-20,2024-01-30,2024-02-09,,,Rejected,False,-1,After_Interview
C00010,Software Engineer,Marketing,Referral,2024-12-16,2024-12-22,2024-12-26,2025-01-01,,Rejected,False,-1,After_Offer
C00011,Marketing Specialist,Sales,Company Website,2025-05-04,2025-05-06,2025-05-17,2025-05-23,,Dropped,False,-1,After_Offer
C00012,Marketing Specialist,Product,Naukri,2023-11-22,2023-11-27,2023-12-09,,,Dropped,False,-1,After_Interview
C00013,Sales Executive,Marketing,Company Website,2023-10-26,2023-10-28,2023-10-29,2023-11-05,2023-11-11,Hired,False,16,None
C00014,Software Engineer,Sales,AngelList,2024-04-05,2024-04-13,2024-04-19,2024-04-21,,Rejected,False,-1,After_Offer
C00015,Sales Executive,Product,AngelList,2024-12-09,2024-12-19,2024-12-30,,,Rejected,False,-1,After_Interview
C00016,HR Manager,Product,LinkedIn,2024-10-04,2024-10-05,2024-10-11,,,Hired,False,-1,None
